T,M,Time
1,1,0.386614
1,10,23.506679
1,20,33.827815
1,30,45.980247
1,40,90.817044
1,50,234.417976
1,100,212.665924
10,1,0.215785
10,10,5.935577
10,20,10.532991
10,30,15.219917
10,40,20.462901
10,50,30.141562
10,100,30.887631
20,1,0.218478
20,10,8.485334
20,20,12.271402
20,30,16.544323
20,40,21.872175
20,50,27.064314
20,100,27.110857
