T,M,Time
1,1,0.125962
1,10,0.617802
1,20,2.705351
1,30,2.043983
1,40,29.149849
1,50,85.506035
1,100,43.171606
10,1,0.001399
10,10,0.391955
10,20,1.818351
10,30,2.186258
10,40,1.164738
10,50,0.479752
10,100,0.737392
20,1,0.002796
20,10,0.473309
20,20,0.852407
20,30,1.739617
20,40,2.011548
20,50,0.660043
20,100,0.637437
