B,P,C,X,N,Time
5,1,1,0,1,4.318206
5,1,5,0,1,0.782875
5,5,1,0,1,0.003133
5,5,5,0,1,3.187442
10,1,1,0,1,3.420344
10,1,5,0,1,2.905984
10,1,10,0,1,3.446678
10,5,1,0,1,0.772421
10,5,5,0,1,1.362301
10,5,10,0,1,0.953406
10,10,1,0,1,0.411146
10,10,5,0,1,0.007183
10,10,10,0,1,0.403016
5,1,1,200,1,3.365204
5,1,5,200,1,0.039793
5,5,1,200,1,0.005212
5,5,5,200,1,4.215578
10,1,1,200,1,1.400765
10,1,5,200,1,1.759607
10,1,10,200,1,2.792047
10,5,1,200,1,0.003863
10,5,5,200,1,2.406132
10,5,10,200,1,3.357181
10,10,1,200,1,0.096767
10,10,5,200,1,1.900884
10,10,10,200,1,2.325367
5,1,1,400,1,2.860460
5,1,5,400,1,0.714694
5,5,1,400,1,0.844387
5,5,5,400,1,2.619938
10,1,1,400,1,4.438495
10,1,5,400,1,4.723092
10,1,10,400,1,1.469527
10,5,1,400,1,2.406962
10,5,5,400,1,3.199629
10,5,10,400,1,3.620872
10,10,1,400,1,0.427772
10,10,5,400,1,3.256325
10,10,10,400,1,0.585861
