T,M,Time
1,1,0.042920
1,10,0.956631
1,20,3.113236
1,30,1.554085
1,40,2.155355
1,50,113.713135
1,100,13.772167
10,1,0.113698
10,10,0.241233
10,20,1.676597
10,30,1.376283
10,40,1.086145
10,50,14.143075
10,100,15.495475
20,1,0.260834
20,10,1.164786
20,20,3.094957
20,30,2.711085
20,40,2.603248
20,50,5.016280
20,100,2.758798
