T,M,Time
1,1,0.331829
1,10,23.788846
1,20,37.191298
1,30,52.475604
1,40,68.013822
1,50,269.290825
1,100,104.826303
10,1,0.525651
10,10,7.644372
10,20,14.398438
10,30,18.938994
10,40,25.209725
10,50,28.848965
10,100,45.263488
20,1,1.565111
20,10,16.223642
20,20,23.630835
20,30,27.726254
20,40,39.268562
20,50,47.010299
20,100,44.196486
