T,M,Time
1,1,0.117121
1,10,10.140710
1,20,10.999521
1,30,1.968338
1,40,10.608656
1,50,56.092112
1,100,97.917695
10,1,0.004013
10,10,2.842831
10,20,3.945850
10,30,7.195271
10,40,10.221033
10,50,1.340783
10,100,11.973845
20,1,0.222150
20,10,1.193819
20,20,2.151183
20,30,11.228938
20,40,8.264606
20,50,1.149347
20,100,5.757220
