T,M,Time
1,1,0.392387
1,10,25.936735
1,20,37.040457
1,30,40.680226
1,40,60.187399
1,50,152.850513
1,100,216.700318
10,1,0.231875
10,10,7.753103
10,20,12.074629
10,30,20.611586
10,40,33.327771
10,50,31.969585
10,100,40.793714
20,1,0.481154
20,10,7.267411
20,20,14.299773
20,30,22.927904
20,40,27.264467
20,50,27.111481
20,100,34.705075
