T,M,Time
1,1,0.306353
1,10,18.326668
1,20,24.425753
1,30,33.241814
1,40,45.074720
1,50,60.931856
1,100,63.641527
10,1,0.249151
10,10,6.609145
10,20,11.013211
10,30,15.918314
10,40,21.041354
10,50,29.901326
10,100,30.351862
20,1,0.254828
20,10,8.710441
20,20,12.666273
20,30,16.808202
20,40,21.175199
20,50,27.238036
20,100,27.810810
